method,n_early,mae_mean,mae_std,mape_mean,mape_std,rmse_mean,rmse_std,n_folds
Deep_Ensemble_PINN_Knee,50,147.1609958037463,38.43461918360231,49.702132024491064,27.80557928431676,235.36089780864367,64.88688915538891,5
Deep_Ensemble_PINN_Knee,100,137.96423118901768,40.780026874091185,34.406915608626335,11.199992122368325,216.31697020481357,65.77951605549282,5
Deep_Ensemble_PINN_Knee,150,111.58317248707246,38.21458229308517,20.950791452459857,5.775002121103534,180.17636133775778,75.52069418088985,5
Hyper_Deep_Ensemble,50,150.6089343331077,39.65195851631611,50.536754989812046,30.152764108500847,239.6556296270458,66.16594864197575,5
Hyper_Deep_Ensemble,100,146.89653053283692,39.99416261718382,35.9923461715785,10.742595492145217,225.61702643818353,68.28100599085234,5
Hyper_Deep_Ensemble,150,113.3472353470116,36.772623842743414,21.37173006762504,5.717753624731531,181.41793822358017,73.46108913597514,5
Combined_UQ_PINN_Knee,50,147.12996966714573,38.44294233473076,49.55260003502985,27.611675967403283,235.31349478617577,65.22147130842487,5
Combined_UQ_PINN_Knee,100,138.0976989193337,40.812170993147774,34.35169910025682,11.1034554239004,216.6164405845895,65.79029504788029,5
Combined_UQ_PINN_Knee,150,111.39830222459507,38.26364224148198,20.868474978867802,5.751002190212765,180.28052418829355,75.62375408153933,5
Bootstrap_PINN_Knee,50,145.65075210224495,40.060379210700106,48.035232543977294,23.272674751498045,230.69650839883465,66.2106416850327,5
Bootstrap_PINN_Knee,100,133.671532641159,39.629639993746295,34.630001892252245,12.341615880868696,211.48133177433806,68.27134867840248,5
Bootstrap_PINN_Knee,150,112.76343868016599,39.84903828924362,21.154472097697614,6.518634854714692,183.70129152243652,74.91706867566518,5
Jackknife_Plus_PINN_Knee,50,151.47446059053593,35.07280149287699,51.08663140456836,25.49644689290127,235.062633031138,58.45917284910564,5
Jackknife_Plus_PINN_Knee,100,143.36173961546928,34.68389687522527,37.47575669255701,11.50024690326576,216.14841679649226,53.9676499493022,5
Jackknife_Plus_PINN_Knee,150,113.76498249117056,40.275045536973806,22.016277324111183,6.782451683999504,177.17987242546218,75.52510716019881,5
CQR_PINN_Knee,50,165.59969836088743,42.99590235274244,55.988078885411255,23.869861032424495,232.2718100282495,64.41751863151339,5
CQR_PINN_Knee,100,165.31632498525659,29.71222111284724,48.19574422289786,12.803518632544423,230.01314318518953,56.54595667049886,5
CQR_PINN_Knee,150,153.7225305220035,25.686823905774393,34.7006413032958,4.977710104355308,218.5325917971057,50.527697697616844,5
SNGP,50,153.63729906949132,35.55654753922223,46.130330810289976,17.929870509932716,234.33249261745215,63.99206075867287,5
SNGP,100,151.4750384964716,40.136694601528156,34.30421404202421,7.242693541004856,233.32352838638658,70.96680169270745,5
SNGP,150,113.55551811879859,40.44824622159864,20.499558413055798,5.948671392519073,190.11304105973585,80.46044508342565,5
Gaussian_Process,50,156.66220483998194,42.598232787142074,57.51283894740577,35.86926126199428,239.7149012951034,68.68856453216402,5
Gaussian_Process,100,141.44074744072014,42.84945016360998,37.95423266756016,12.402574454498149,212.1548317767798,64.50032269610534,5
Gaussian_Process,150,125.29372729042288,34.42817670023429,25.95870690896926,5.369108667974662,188.1247724098559,66.56545055392318,5
NGBoost,50,170.51340488308975,40.21274032740014,52.56089484412412,21.74681008230102,258.9423918783356,60.032739664531285,5
NGBoost,100,136.05010552572753,36.74603035891678,35.49944632518937,15.753176576528347,201.70805876409864,58.11228793579192,5
NGBoost,150,123.39398162166523,36.505173609501114,23.41948823822929,5.949720671412512,194.4680414310862,62.977152292150045,5
Heteroscedastic_MLP_v2,50,167.4744243066961,49.86723633605969,55.624542680954825,29.76474037428097,242.69659303436907,59.769765289925814,5
Heteroscedastic_MLP_v2,100,195.60313192729208,68.35517547538363,54.42591697875876,27.568761427366194,376.8440018900066,275.8001574696107,5
Heteroscedastic_MLP_v2,150,137.09764368153813,30.767661028468183,28.369326680339974,6.984650661756462,210.1495465435703,58.84156774264076,5
CQR_MLP_v2,50,176.93994785655627,44.35461936933141,56.32311166620089,26.35649329285435,252.57673497846835,54.39134609893324,5
CQR_MLP_v2,100,217.66583023560096,114.33084596715956,62.651018508031555,46.72751116557919,479.1039020272459,492.86626184260086,5
CQR_MLP_v2,150,140.91972450120585,29.938471138931902,27.347924426556613,5.778095386971941,216.2674920548239,56.338936860343026,5
Bayesian_LSTM,50,194.6872080175226,32.35215838342398,56.801531799140186,14.535196685227012,257.89782333777663,69.12279076857361,5
Bayesian_LSTM,100,191.6878488910251,31.76301458926936,45.85211664708684,4.484209508344978,255.42847870957857,69.75006252170444,5
Bayesian_LSTM,150,184.54796028934564,33.5175013966381,38.65838611213037,4.627082512610635,249.07448536395313,74.29177364066582,5
Ensemble_NN,50,198.90486129080708,32.329235109257596,58.20503966269611,12.862211886808366,260.82274416031413,64.69854536165515,5
Ensemble_NN,100,197.7167365022816,31.44439887734051,50.76460406592063,5.727209049359897,262.0180404555284,61.31011281917809,5
Ensemble_NN,150,191.682592880281,30.148264476053324,42.32687140769657,5.403109482501195,258.34786313134066,61.26295655588395,5
Last_Layer_Laplace,50,280.2091022005948,131.30798755849312,123.78807339018803,116.14180605920954,477.5397497330226,301.68044368513296,5
Last_Layer_Laplace,100,323.1150009045291,220.49401560557558,90.27539587368037,70.39205644292828,654.5539573774321,675.5565931767735,5
Last_Layer_Laplace,150,510.20398885806287,583.456953673924,154.8434132038184,206.22504600817152,1007.7475444141107,1273.8372769841787,5
